,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
127,64,26.0,0.8110936999873957,"[4, 1, 4, 2, 7, 3, 7, 0]",exponential,1.0,0.05,0.001,0.9602566514412085,1.0,8192
128,128,26.0,0.9027714999974705,"[4, 2, 7, 2, 6, 3, 0, 0]",exponential,1.0,0.05,0.001,0.9558650136607763,1.0,8192
129,256,26.0,1.0001324999902863,"[0, 4, 7, 1, 6, 3, 5, 2]",exponential,1.0,0.05,0.001,0.9512231226271136,1.0,8192
130,512,28.0,1.1402018999942811,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9445845337377944,1.0,8192
131,1024,28.0,1.2786538999935146,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9380681340821387,1.0,8192
132,2048,28.0,1.408233999987715,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9320100323789489,1.0,8192
133,4096,28.0,1.408233999987715,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9320100323789489,1.0,8192
134,8192,28.0,1.408233999987715,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9320100323789489,1.0,8192
135,0,23.0,9.259999205823988e-05,"[5, 3, 4, 0, 7, 1, 3, 5]",exponential,1.0,0.05,0.001,0.9999953700111155,1.0,8192
136,1,23.0,0.0016419000021414831,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9999179083695953,1.0,8192
137,2,23.0,0.12432889999763574,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9938028371182378,1.0,8192
138,4,24.0,0.2633198999974411,"[5, 2, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9869202975878947,1.0,8192
139,8,24.0,0.3689719999965746,"[5, 2, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9817205337305824,1.0,8192
140,16,24.0,0.45774949999758974,"[5, 1, 4, 0, 7, 7, 3, 0]",exponential,1.0,0.05,0.001,0.9773724564216015,1.0,8192
141,32,25.0,0.5661532999947667,"[0, 2, 4, 2, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9720892429519584,1.0,8192
142,64,26.0,0.694133500001044,"[4, 1, 4, 2, 7, 3, 7, 0]",exponential,1.0,0.05,0.001,0.9658886940104322,1.0,8192
143,128,26.0,0.8641177999961656,"[4, 2, 7, 2, 6, 3, 0, 0]",exponential,1.0,0.05,0.001,0.9577141859929834,1.0,8192
144,256,26.0,0.9921248000027845,"[0, 4, 7, 1, 6, 3, 5, 2]",exponential,1.0,0.05,0.001,0.9516040543510574,1.0,8192
145,512,28.0,1.1230047999997623,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9453970887614789,1.0,8192
146,1024,28.0,1.2795391999970889,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9380266114150232,1.0,8192
147,2048,28.0,1.4432101999991573,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9303815482833647,1.0,8192
148,4096,28.0,1.4432101999991573,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9303815482833647,1.0,8192
149,8192,28.0,1.4432101999991573,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9303815482833647,1.0,8192
